F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root        1620       1  0  80   0 - 78705 -      08:49 ?        00:00:00 /usr/sbin/gdm3
1 S root        1633       2  0  58   - -     0 -      08:49 ?        00:00:00 [psimon]
4 S rtkit       1667       1  0  81   1 -  5735 -      08:49 ?        00:00:00 /usr/libexec/rtkit-daemon
5 S root        1730       2  0  70 -10 -     0 -      08:49 ?        00:00:00 [krfcommd]
4 S colord      1865       1  0  80   0 - 80018 -      08:49 ?        00:00:00 /usr/libexec/colord
4 S cups-br+    2196       1  0  80   0 - 67083 -      08:49 ?        00:00:00 /usr/sbin/cups-browsed
1 S kernoops    2198       1  0  80   0 -  3186 -      08:49 ?        00:00:00 /usr/sbin/kerneloops --test
1 S kernoops    2201       1  0  80   0 -  3186 -      08:49 ?        00:00:00 /usr/sbin/kerneloops
4 S root        2208    1620  0  80   0 - 97512 -      08:49 ?        00:00:00 gdm-session-worker [pam/gdm-password]
4 S sakshi      2220       1  0  80   0 -  5374 -      08:49 ?        00:00:01 /usr/lib/systemd/systemd --user
5 S sakshi      2225    2220  0  80   0 -  5366 -      08:49 ?        00:00:00 (sd-pam)
0 S sakshi      2237    2220  0  69 -11 - 29866 ep_pol 08:49 ?        00:00:00 /usr/bin/pipewire
0 S sakshi      2238    2220  0  80   0 - 24434 ep_pol 08:49 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
0 S sakshi      2244    2220  0  69 -11 - 101600 do_pol 08:49 ?       00:00:00 /usr/bin/wireplumber
0 S sakshi      2246    2220  0  69 -11 - 29708 ep_pol 08:49 ?        00:00:00 /usr/bin/pipewire-pulse
0 S sakshi      2248    2220  0  80   0 - 79160 do_pol 08:49 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
0 S sakshi      2258    2220  0  80   0 -  2718 ep_pol 08:49 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
0 S sakshi      2292    2220  0  80   0 - 134140 do_pol 08:49 ?       00:00:00 /usr/libexec/xdg-document-portal
0 S sakshi      2296    2220  0  80   0 - 77327 do_pol 08:49 ?        00:00:00 /usr/libexec/xdg-permission-store
4 S root        2303    2292  0  80   0 -   676 -      08:49 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
4 S sakshi      2333    2208  0  80   0 - 58928 do_pol 08:49 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
4 S sakshi      2342    2333  1  80   0 - 6524079 ep_pol 08:49 tty2   00:00:50 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
0 S sakshi      2418    2333  0  80   0 - 74559 do_pol 08:49 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
0 S sakshi      2508    2220  0  80   0 - 95751 do_pol 08:49 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
0 S sakshi      2515    2508  0  80   0 -  2370 ep_pol 08:49 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
4 S sakshi      2524    2220  0  80   0 -  9784 do_wai 08:49 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
0 S sakshi      2530    2220  0  80   0 - 40663 do_pol 08:49 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
0 S sakshi      2540    2220  0  80   0 - 22887 do_pol 08:49 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
0 S sakshi      2562    2220  0  80   0 - 78565 do_pol 08:49 ?        00:00:00 /usr/libexec/gvfsd
0 S sakshi      2583    2220  0  80   0 - 114927 futex_ 08:49 ?       00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
0 S sakshi      2590    2220  0  80   0 - 130139 do_pol 08:49 ?       00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
1 S sakshi      2611    2524  0  80   0 - 440383 do_pol 08:49 ?       00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
0 S sakshi      2645    2220  1  80   0 - 1208228 do_pol 08:49 ?      00:00:51 /usr/bin/gnome-shell
0 S sakshi      2702    2645  0  80   0 - 282290 do_pol 08:49 ?       00:00:00 /usr/libexec/mutter-x11-frames
0 S sakshi      2713    2220  0  80   0 - 59013 do_pol 08:49 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
0 S sakshi      2741    2220  0  80   0 - 163693 do_pol 08:49 ?       00:00:00 /usr/libexec/gnome-shell-calendar-server
